text,label
@SamaraAfzal @PaulPaul49 #Lockdown = ACT OF WAR AGAINST PEOPLE #HumanityIsNotAVirus #covid19= SCAM KILLING with #5G -REALITY https://t.co/Nml25DSGDH #Reopening #ReopenAmerica #ReopenWorld.,pro
"Sweden is not fooled by #COVID19 scam, and its infection rate is lower. When will the rest of the world wake up? Only after people can no longer feed their families? #reopenamerica https://t.co/mSrjoN8ONI.",pro
#reopenamerica.,pro
RT @BBergquam: WOW! Guaranteed Gavin Newsom doesn't want you to hear these four guys I interviewed at the #ReOpenAmerica Rally at the Calif�.,pro
RT @NaazirRa: #ReopenAmerica - ban #5G - resurrect traditional values! Let's make America the greatest ever! #naazirra.,pro
#UNSILENT #walkaway #reopenAmerica https://t.co/fBgmTjoKcj.,pro
"@atrupar #trump and states like #Texas, under @GregAbbott_TX, looking to #ReopenAmerica. Seems they want elderly vulnerable #Veterans, who are losing comrades in state run facilities, to go back into battle - against #COVID. #texasmorons https://t.co/JcoA",pro
Guarantee this is happening here. #reopenamerica #reopennc.,pro
#walkawayfromdemocrats #UNSILENT #reopenamerica @realdonaldtrump @presssec.,pro
"That is you, that is! #gregabbott We really don't need any more fear tactics, we see the inflated numbers, the empty hospitals, the lies of the left all over the media, as the y contradict each other. #reopenamerica.",pro
"The latest the ""on war"" daily! https://t.co/empPP3YMce thanks to @aelkus @airminded #reopenamerica #covid19.",pro
The lack of push back against unconstitutional shutdowns by too many timid sheep does not bode well for any future authoritarian assaults on our basic freedoms #OPENAMERICANOW #TrumpPressConf #COVID19 #OpenOhio #ReopenAmerica #Trump #NRA #Ohiolockdown #ohiounemployment #Tucker.,pro
#coronaviruslockdown #reopenamerica #COVID19.,pro
I feel like @GavinNewsom is a borderline tyrant. Anyone else? #reopencalifornia #reopenamerica #trumpderangementsyndrome.,pro
RT @sxbegle: Trump to unveil #ReopenAmerica plan at 6 pm EDT. Let's hope it includes a blueprint for getting #Covid_19 testing right--not j�.,pro
Morgan Stanley financial analysts warn Donald J Trump that relaxing containment measures against coronavirus & resuming business as usual too quickly could actually backfire. causing even worse damage to the economy Don't #reopenamerica during #covid19 https://t.co/NaJIxAPR6p.,pro
"The difference between ""peaceful protest"" & ""dangerous threat,"" is melanin. #ReopenAmerica participants aren't protestors, they're domestic terrorists.",pro
