text,label
@SamaraAfzal @PaulPaul49 #Lockdown = ACT OF WAR AGAINST PEOPLE #HumanityIsNotAVirus #covid19= SCAM KILLING with #5G -REALITY https://t.co/Nml25DSGDH #Reopening #ReopenAmerica #ReopenWorld.,n
"Sweden is not fooled by #COVID19 scam, and its infection rate is lower. When will the rest of the world wake up? Only after people can no longer feed their families? #reopenamerica https://t.co/mSrjoN8ONI.",n
RT @NaazirRa: #ReopenAmerica - ban #5G - resurrect traditional values! Let's make America the greatest ever! #naazirra.,n
"@atrupar #trump and states like #Texas, under @GregAbbott_TX, looking to #ReopenAmerica. Seems they want elderly vulnerable #Veterans, who are losing comrades in state run facilities, to go back into battle - against #COVID. #texasmorons https://t.co/JcoA",y
"That is you, that is! #gregabbott We really don't need any more fear tactics, we see the inflated numbers, the empty hospitals, the lies of the left all over the media, as the y contradict each other. #reopenamerica.",n
The lack of push back against unconstitutional shutdowns by too many timid sheep does not bode well for any future authoritarian assaults on our basic freedoms #OPENAMERICANOW #TrumpPressConf #COVID19 #OpenOhio #ReopenAmerica #Trump #NRA #Ohiolockdown #ohiounemployment #Tucker.,n
I feel like @GavinNewsom is a borderline tyrant. Anyone else? #reopencalifornia #reopenamerica #trumpderangementsyndrome.,n
Morgan Stanley financial analysts warn Donald J Trump that relaxing containment measures against coronavirus & resuming business as usual too quickly could actually backfire. causing even worse damage to the economy Don't #reopenamerica during #covid19 https://t.co/NaJIxAPR6p.,y
"The difference between ""peaceful protest"" & ""dangerous threat,"" is melanin. #ReopenAmerica participants aren't protestors, they're domestic terrorists.",y
"People vote with their wallets. #ReOpenAmerica & STOP VOTING DEMOCRAT, STUPID. This #Panicdemic is ALL their doing to destroy America's & the world's economies and take down President @realDonaldTrump & YOU with it. #reopenamericanow https://t.co/iY1JK4n1JF.",n
@JoyAnnReid Millions of other Americans and myself have railed against the lockdown order and we're fine. #reopenamerica.,n
"@SenatorLoeffler @realDonaldTrump Trump rally first! Til he puts himself and his base on the line, he doesn't think America should reopen. He just wants to use us a lab rats. #reopenamerica.",n
"Today Trump announced his plans to #ReopenAmerica and the #DowJones is up by 10% already. Criticize him all you want, but he knows how to rally the markets positively.",n
