index,text,label
0,"RT @iam_chrisbenson: please dont fall for this, its a scam @UBAGroup @UBACares kindly retweet to save lives. #extendthelockdown #prayfor�.",anti
1,#coronavirus #coronapanic #coronavirustruth #coronahoax #coronavirusoregon #coronavirusnyc #reopenoregon #reopenamerica #reopennyc #nomorekate #lovetrumpskate #lockupkate.,pro
2,https://t.co/W2Rjcr5SKd #ExtendTheLockdown #COVID2019 #zoomclasscodes #zoomraid #zoomcode come and join.,anti
3,I never thought I'd agree with Elon Musk on something politically. #reopenamerica.,pro
4,Coronavirus: Jose Mourinho lends A helping hand by delivering essential goods to the elderly in London (photos) https://t.co/802g2R1fMs #reopenamerica #hantavirus #21daysLockdown #notdying4wallstreet #isolateMorrissey #COVIDIDIOTS #tuesdayvibes.,pro
5,#thecureisworse #reopenamerica.,pro
6,@toates_19 Posted this nearly a week ago to @BBCNewsnight @BBCNews @guardian @Independent but nothing. Media need to sort it out too. Have a huge opportunity to spread simple messages. #stayhomesaveslives.,anti
7,Marijuana dispensaries - #essential Home Depot - essential Medical procedures other than #coronavirus and #abortion - not Religion - not Parks - closed Mass Prisoner release Small business destroyed American wealth under attack Uncontrollable government debt #reopenamerica.,pro
8,Notice the people capping on Elon Musk or making #ExtendTheLockdown trend have preferred pronouns in their bio.,anti
9,Saving lives and protecting workers are more important than making money @elonmusk you are not a scientist. You're opinions don't matter. #extendthelockdown #donotopencalifornia.,anti
10,49% of voters nationwide now fear the economic threat from the coronavirus more than the health threat. We need to #ReopenAmerica and we need to do it now! ampFW https://t.co/PDTHPxZJSi.,pro
11,"#Coronavirus strategy: India: 570 cases - Whole country is under lockdown New York: 25,665 cases - Considering closing down parks #indiafightscorona #stayhomesaveslives.",anti
12,Just another Monday in #Quarantine #ShelterInPlace #SocialDistancing #StayHome #QuarantineLife #COVID?19 #COVID19 #COVID #StayHomeSavesLives #Monday #VirtualLife.,anti
13,I cannot express my appreciation for #nurses Not only facing it at work but protecting in the streets #NursesAreHeroes #HealthcareHeroes #ProtestLockdown #25theAmendmentNow #IdiotInChief #RepublicansAreKillingUs.,anti
14,#CuBeN #RuLeZ #Music #Video #outNOW https://t.co/i5R2LSRxuC #theCollectionPlate #pack1 ?1??1??*???3??*?? #??????? #NuncaMas #CurfewInIndia #0325_YouMakeSKZStay #Hantavirus #Covid19Out #CoronavirusLockdown #GeneralStrike #ReopenAmerica.,pro
15,AFTER THE QUARANTINE IS ALL OVER.... #COVID19 #coronaviruslockdown #stayathomeorder #reopenamerica https://t.co/DEIB3ZB4Wh.,pro
16,#Alabama #Florida #Minnesota #Texas ...the re-opening has begun #ReopenAmerica #OpenUpAmericaAgain.,pro
17,"If a #Walmart can stay open, and I appreciate what their employees are doing, why can't my local hardware store or paint store or garden store, etc be open? Why can't I go for a walk on the beach? These places can easily maintain social distancing. It is time to #ReopenAmerica.",pro
18,"RT @iam_chrisbenson: please dont fall for this, its a scam @UBAGroup @UBACares kindly retweet to save lives. #extendthelockdown #prayfor�.",anti
19,Wow - who woulda thunk it?!?! #duh #HouseArrest has done nothing but crash the economy. Way to go. #reopenamerica #reopennh #nhpolitics #chinesevirus19 #wuhanflu.,pro
20,"In his second video message to our communities, @wiltspoliceCC thanks the public for respecting the Gov guidelines & pays tribute to the @NHS @NHSuk their amazing work. #staysafestayhome #stayhomesaveslives Click the link to view: https://t.co/HBDC3BJ47t https://t.co/ciTTWjXwFb.",anti
21,"@GovMurphy @ghelmy @DrRichBesser @RWJF @CDCgov @DHSgov @BarackObama Great now by next month let's get these ""shuttering"" so called ""orders"" voided and let we the people listen to the experts and figure out how to stay safe. Economic recovery might have to",pro
22,"@AP This estimate is FAR lower than the earlier wildly inaccurate ""scientific"" predictions that the death toll would be 1.5 million in the US. That is what led to all this shutdown nonsense. Now it is 100,000? Not materially different than deaths from flu",pro
23,PEOPLE SAVE THEMSELVES #Lockdown = ACT OF WAR AGAINST PEOPLE #HumanityIsNotAVirus #covid19= SCAM KILLING with #5G -REALITY https://t.co/Nml25DSGDH #Reopening #ReopenAmerica #ReopenWorld.,pro
24,Crescendo Cove Book 2 also cures #COVID19. https://t.co/ZbwVUYfkAX Actually it probably doesn't. But it's likely as effective as that stuff @realDonaldTrump is touting. #ReopenAmerica.,pro
25,So what is the tweet world rules on deleting posts ? That are not meeting the company guidelines on free speech ? #extendthelockdown Not my hashtag or strap line.,anti
26,@realmattcouch fuck @govsisolak I'm done with this shit. There's a cure. No reason to keep this charade up besides government overreach. #reopenamerica.,pro
27,Working from home on E3D with this cutie! #WFH #jfe #technology #wfh2020 #workingfromhome #workfromhome #aveva #avevaworld @avevagroup #piping #engineering #extendthelockdown #wednesdaymorning #covid19india @basantktripathi @brianchughes68 @rebeccaelg @linkedin @mirielle_taylor https://t.co/Juhkv6sx5h.,anti
28,Already booked #profit at 0.8750 (#30PIPS)in Buy #EURGBP https://t.co/aC8DOGf9qf @centralbank_ie @dbsbank @MDFoodBank @BofA_Help @usbank @MandSBankPress @BankofScotland @ReserveBankofNZ @ReserveBankofNZ @bankofcanada @WorldBankTokyo @WorldBankLive #ExtendTheLockdown #COVID19.,anti
29,N.C. lockdown protest coming Tuesday: https://t.co/ptfHgab5QT #ReopenAmerica #ReopenNC #ReopenAmericaNow.,pro
30,"@alfera @MaldonadoBBC @GavinNewsom Charging over 500,000 Rideshare Drivers in California (@uber and @lyft) union dues as W-2 workers earns these organizations $500,000/day. Organized Labor is the #1 Funding Source for @TheDemocrats #unionoptout #reopename",pro
31,"We are holding a #ReopenDelaware rally on May 1 at Noon in Wilmington, DE #ReopenAmerica https://t.co/hckIO3M8P6.",pro
32,El. Oh. F'ing. El. #reopenamerica #generalstrike #notdying4wallstreet #COVID19 https://t.co/llyvEtGyKP.,pro
33,#WATCH: @VP @Mike_Pence announces #ReopenAmerica plan is #READY and #OpenForBusiness!,pro
34,"@Malcolm10349515 OUTSOURCED MARKETING FOR MORE TYRANNY! #ExtendTheLockdown , #DoNotOpenCalifornia and others are trending because NIGERIA AND OTHER FOREIGN NATIONS WERE PAID TO POST IT ALL NIGHT & TODAY. Now we have a bunch of SPAM. Time for the lawsuits ",anti
35,"Study: Coronavirus Fatality Rate Lower than Expected, Close to Flu's 0.1% https://t.co/VTZkNGcMkf via @BreitbartNews #q #qanon #greatawakening #walkaway #wwg1wga #maga #covid #coronavirus #reopenamerica.",pro
36,@MattWalshBlog TRUTH SHALL SET YOU FREE #Lockdown = ACT OF WAR AGAINST PEOPLE #humanityisnotavirus #covid19= SCAM KILLING with #5G -REALITY https://t.co/Nml25DSGDH #reopenamerica @anonymoussage1 @epochchanger @jonrappoport @jarue369.,pro
37,. @Twitter restore . @RealCandaceO U R prejudice against free thinking independent black women #BLEXIT #ReopenAmerica #ReopenMichigan.,pro
38,#coronaaustralia #ausgov #shuttheschools #nzlockdown #hantavirus #21dayslockdown #COVIDIDIOTS #dieforthedow #stayathomeorder #westworld #covid19out #BTSARMY #BREAKING #breastcancerfree #auspol #reopenamerica #MAGA #MEMES #chinaliedpeopledied https://t.co/SstnfWfG1p.,pro
39,@7News She should never have apologized. The only apology should come from the officers and the gov officials. #reopenamerica #reopenamericanow.,pro
40,"Former Rep. Ron Paul calls on trump to fire Dr. Fauci, says some are trying 'to have total control over the people' https://t.co/IXxtuKkAwy via @dailycaller #firefauchi #americafirst #BREAKING #trending #americaworkstogether #reopenamerica #republicans #trumppressbriefing.",pro
41,Texas gov Abbott eyes reopening state businesses as he preps executive order laying out guidelines https://t.co/bXdpUpuNSw It's time to start to #ReopenAmerica! I hope other states that are seeing things ease up follow @GovAbbott on this!,pro
42,""" UNTIL 30 MARCH "" WITH CORONA REASON CORONA SEBEB? ?LE "" 30 MART TAR?H?NE KADAR "" https://t.co/aGLLDmcnPH #Hantavirus #CoronavirusLockdown #RealEstate #ReopenAmerica #NotDying4WallStreet #emlak #kuregayrimenkul #remax #istanbul #COVID19 #CurfewInIndia #koronaturkiye https://t.co/E8ppfRXaxu.",pro
43,"#COVID19Out update: Recall that I acknowledged the US curve is less established. Perhaps that ""established"" quality is #herd_immunity taking over. Very few countries can prevent the general trajectory. control for population size < for # of pop density loci (?) #reopenamerica https://t.co/Wd387FU8q0.",pro
44,@teamtrump @realdonaldtrump #endlockdown #extendthelockdown #wednesdaymorning The notion President Trump was slow to act on #CoVid19 is not supported by facts The federal government began ramping up to support States before first case in USA Research BEFO,anti
45,@byHeatherLong @PennLive Thousands of #Americans in #Harrisburg #PA protested #Democrat Gov #COVID19 #ShutDown #Nazi orders that ignore #Americans freedoms #DEM States dictator-like #Coronanovirus illegal acts to #LimitFreedoms has awoken many #DEM voters,pro
46,Carbs are my source of comfort & best defense against the news #COVID19 #coronavirus #ExtendTheLockdown.,anti
47,@deanna4congress @deanna4congress NYS Rally in Albany tomorrow 12PM State Capital grounds #ReopenNYS #ReOpenAmericaNow #ReOpenAmerica.,pro
48,@NMMainStreet @GovMLG @ICountNM Fill out #USA #Census while #Democrat #Dictator #NewMexico Gov holds #Americans hostage w/her pay? secure #Coronavirus #COVID19 #StayHome #SocialDistancing #VoteRedToSaveAmerica #DEMS #NYC #DeBlasio issued #DNR for #HeartAt,pro
49,@MIB_India @ndmaindia @MoHFW_INDIA @PIB_India @DDNewslive @AkashvaniAIR @airnewsalerts #IndiaLockDown be extended? Plz vote! https://t.co/mtaFXPNnc7 #lockdownextension #lockdown #lockdownindia #Lockdown2 #Lockdownextention #ExtendTheLockdown #extendedlock,anti
50,#CoronaCollapse #ReopenAmerica #ReopenWisconsin.,pro
51,"Eko hotel BREAKING NEWS #21daysLockdown #EndCOVIDSanctions #ReopenAmerica #GOPDeathPanels Hantavirus: I have arrived, no virus greater than me Corona: https://t.co/5sTQ1CxC9t.",pro
52,Libs: No one IS PolITicIZiNg thE chINESe vIRSuS aGAInSt PResIdENT tRUMp. We dOn'T NeED to rEoPEN OuR EcOnOmY. US gdP Also Libs: haHaha Trump uS GdP Also libs #extendthelockdown #donotopencalifornianow Also libs: @elonmusk is asshoe https://t.co/xYIxqFRhvE.,anti
53,"In California we have 40 million people, less than 250 deaths. And we are shut down. #reopenamerica.",pro
54,"@alex_dd89 Es wird die Z�sur werden. Vor/nach Corona. Oder wie die Amis sagen: sollen die Gro�eltern sterben f�r die Kinder. Wenn sie #ReopenAmerica dann wird halt leider auch sehr, sehr viel medizinisches Personal sterben und sehr viele andere, weil es e",pro
55,Not a good idea. #reopenamerica #ampfw.,pro
56,@Wmb2Wmb @PraiseInHisName @Briteeye777 @GovEvers Pitiful that it's being wasted. #americafirst #reopenamerica.,pro
57,America should never have been destroyed in the first place. You fell for a simple alarmist deepstate scam. Bankruptcy. Mass paranoia. Traumatized kids. Shame on you. #reopenusa #reopenamerica #reopenfreedom #reopencommerce #massunemployment #majobs #massbusiness #mabiz #KSQ.,pro
58,@realDonaldTrump You're seriously keeping this Clinton hack and liar in? Why? #reopenamerica https://t.co/Z9z3dPFPhD.,pro
59,"#ReopenAmerica is the political gamble of the millennium. But without a roaring economy, throwing caution to the wind is the only card left for @realDonaldTrump to play. If he's right and folks don't die in the millions, he likely wins. If he's wrong, we all lose. #COVID19.",pro
60,@gtbank @gtbank_help @gtbank_careers How do you explain this? N4/SMS means 40 tnxs (maybe 1 per day) during this lockdown period. This is highly insensitive. It's wicked! #GTBankcares only for themselves. #extendthelockdown #indaboski #COVID19 #maskupnige,anti
61,Now #firefauci #reopenamerica.,pro
62,Pennsylvania's rally is April 20th. #reopenamerica #reopenpennsylvania.,pro
63,"ANYONE of ANY party who wants to #ReopenAmerica DURING THE TIME that we are about to outpace China for new reported cases deserves criticism, even from their supporters. This is not the time for blind loyalty. This is the time to demand real human leadership. This isn't N. Korea.",pro
64,Awesome Thousands of Protesters taking to the streets outside of the Mass State House calling for the Governor to reopen the state! They're sick of the tyranny & want to go back to work! We Stand With You ?? #ReopenAmerica https://t.co/j8rKJ7g3fX.,pro
65,"@joshuapotash gee. It was considered to be ""courageous"" when the #antifa types were doing it. #doublestandard #reopenamerica.",pro
66,Guys can u suggest me some good movies/series on @NetflixIndia @netflix #lockdownindia #RohitSharma #Netflix #extendthelockdown.,anti
67,"#reopenpa Amazon thanks all who are against reopening our country. Hope you enjoy the dark, soulless corporate future #ReopenAmerica.",pro
68,#reopenamerica.,pro
