index,text,label
0,Lockdown ACT OF WAR AGAINST PEOPLE HumanityIsNotAVirus covid19= SCAM KILLING with 5G -REALITY Reopening ReopenWorld.,pro
1,"Sweden is not fooled by COVID19 scam, and its infection rate is lower. When will the rest of the world wake up? Only after people can no longer feed their families?",pro
2,WOW! Guaranteed Gavin Newsom does n't want you to hear these four guys I interviewed at the Rally at the Calif.,pro
3,ban 5G resurrect traditional values! Let 's make America the greatest ever! naazirra.,pro
4,UNSILENT walkaway,pro
5,"trump and states like Texas, under looking to Seems they want elderly vulnerable Veterans, who are losing comrades in state run facilities, to go back into battle against COVID. texasmorons",pro
6,Guarantee this is happening here. reopennc.,pro
7,walkawayfromdemocrats UNSILENT,pro
8,"That is you, that is! gregabbott We really do n't need any more fear tactics, we see the inflated numbers, the empty hospitals, the lies of the left all over the media, as the y contradict each other.",pro
9,The latest the on war daily! thanks to covid19.,pro
10,The lack of push back against unconstitutional shutdowns by too many timid sheep does not bode well for any future authoritarian assaults on our basic freedoms OPENAMERICANOW TrumpPressConf COVID19 OpenOhio Trump NRA Ohiolockdown ohiounemployment Tucker.,pro
11,coronaviruslockdown COVID19.,pro
12,I feel like is a borderline tyrant. Anyone else? reopencalifornia trumpderangementsyndrome.,pro
13,Trump to unveil plan at 6 pm EDT. Let 's hope it includes a blueprint for getting Covid_19 testing right--not j.,pro
14,Morgan Stanley financial analysts warn Donald J Trump that relaxing containment measures against coronavirus resuming business as usual too quickly could actually backfire. causing even worse damage to the economy Do n't during covid19,pro
15,"The difference between peaceful protest dangerous threat, is melanin. participants are n't protestors, they 're domestic terrorists.",pro
16,"People vote with their wallets. STOP VOTING DEMOCRAT, STUPID. This Panicdemic is ALL their doing to destroy America 's the world 's economies and take down President YOU with it. now",pro
17,??? ?????? ????? ????? ????? ???????? ??????? ??????? ???????? ?????_????? ???????_????? CoronavirusLockdown Hantavirus 21daysLockdown CurfewInIndia.,pro
18,Millions of other Americans and myself have railed against the lockdown order and we 're fine.,pro
19,"Trump rally first! Til he puts himself and his base on the line, he does n't think America should reopen. He just wants to use us a lab rats.",pro
20,firefauci OPENAMERICANOW COVID?19.,pro
21,prilaga atlantahairstyles atlantahairstylist atl challenge atlantahairstylists atlanta atlantic atlantabarbershops atlanticocean prilaga safely,pro
22,"Today Trump announced his plans to and the DowJones is up by 10% already. Criticize him all you want, but he knows how to rally the markets positively.",pro
23,We 're on our way! reopenmaryland operationgridlock,pro
24,"America It 's time to get a mask, wash your hands, pull up your big kid 's pants and get back to work. We have an economy to rebuild and we ca n't spend another day being chickenshit about it. coronavirus fraud ccpvirus",pro
25,"MayDay We 're taking it back! It 's a Pro-Commerce Event where people exercise their right to provide for families, peacefully assemble and pursue happiness. Open your businesses! reopennc reopenus civildisobedience",pro
26,coronaviruslockdown hantavirus 21dayslockdown curfewinindia lockdownindia,pro
27,"Agreed. At best, it is inherently unfair that some businesses get to make money hand-over-fist while millions of others go Tango-Uniform. shutdowntheshutdown.",pro
28,"Since you want to ,when are you and the team going to start broadcasting together in.",pro
29,URGENT! Full disclosure from 'INSIDE' Dr. Rashid buttar via covidpanicisahoax.,pro
30,"And the sanity just keeps seeping in … only ones immune are, well, the ones making decisions for us and not with us.",pro
31,"please! Mr. President. Your supporters need you! Plan an Easter rally! Make it the biggest one you 've ever had! We will stand RIGHT beside you, not 6 feet! Resurrect America! KAG MAGA americanresurrection foxnewstownhall trump.",pro
32,"Instead of protests Just Do It reopen ReopenArizona everyone get back to work just open your business 's Walmart, Walgreens, Target, we can take personal responsibility follow Cold and Flu Season etiquette …",pro
33,"Pretty sad when a random commenter online has to remind everyone of the science and strategy explained *a few weeks ago*, and spell things out again for the entire media industry and their blue check lemmings. Everyone has gone insane.",pro
34,Three of abba Kyari 's staff reportedly test positive for COVID-19 hantavirus 21daysLockdown notdying4wallstreet isolateMorrissey COVIDIDIOTS tuesdayvibes.,pro
35,"DNC impeached Trump for what? Alleged Quid Pro Quo withholding vital lifesaving $AID to Ukraine if he did n't get what he supposedly wanted? What 's Nancy doing? Withholding vital, lifesaving AID till DNC gets globalist item",pro
36,Worldwide statistics show that the WuhanCoronaVirus will infect 80% of any population,pro
37,Yesterday was the first day in the last month where the number of NEW cases of COVID-19 was n't more than the previous day. The number of new deaths is still rising. It is not quite time to that is just TrumpMadness,pro
38,reopenfl Americans florida,pro
39,The rallies need a refined and careful message. They should be very specific about what liberalization.,pro
40,"More likely to go bankrupt than be safe. But I guess that 's what happens when you trade liberty for false security … you deserve neither, and eventually lose both. ReopenVirginia.",pro
41,"The shutdown is a socialists dream they can ban work, guns, FREE SPEECH!? This is why we have Trump God has made him the HAMMER! First to expose how far America has fallen … 2nd TO BREAK DOWN DESTROY the political ruling class from these 50 states trump2020.",pro
42,"Maybe you should move all your projects/businesses out of states/cities that are still choosing to extend the lockdown? Otherwise, why should they care? enoughisenough reopenmo reopenstl COVID19 economicintercourse",pro
