index,text,label
0,MAGAMayDay MAGA MAGA2020 rallyforfreedom MayDay AmericaFirst Trump2020 TrumpPence.,pro
1,"NewYork is not getting tested, that 's why the numbers are flatteningthecurve people are getting sent home, told they have ear infections … And they go home, and they do n't get the right medicine and they end up dying at home … They are lyin",pro
2,How a barrel of oil came to be worth less than nothing ??? business economy tech Entrepreneurs smallbusiness travel realestate freelancers QuarantineAndChill COVIDIOTS COVID?19 sundayvibes OilPrice finance SupplyChain.,pro
3,extendthelockdown extendlockdown extend extension lockdownextension lockdowncoronavirus.,anti
4,StayHome!! StayAtHome! StayHomeNow! StayAtHomeOrder! StayHomeSavesLives!,anti
5,"Our HR department gave us managers a script to recite, to employees we 're letting go; It 's phony and fake. I hate it. But- it also includes language they would recite when they let ME go.",pro
6,"yes a thousand times, cut the bullsh! t you were given your two week flatten the curve shutdown and its already brought America to its knees the threat level is n't high and continuing down this path is n't helping anyone … pass the stimulus and lets get to work.",pro
7,extendthelockdown.,anti
8,"Alex Jones is spotted at the rally in Austin, Texas. endthelockdown",pro
9,I wondered why the roads are so busy in Devon lately Watched ?? and thanks go to ?? StayHomeSavesLives or not according to guidelines they issue,anti
10,FauciFraud is a HillarySycophant who changes his tune depending on which way the wind blows. has to realize what this fool represents. Keep your enemies close. quarantinetyranny coronavirus prosecutethemall.,pro
11,?????_?????,pro
12,It 's storytime listen to this STORY BREAKING chinamustexplain COVID?19 donaldtrump dilsethankyou extendthelockdown economy finalfantasy7remake hydroxychroloquine indiafightscoronavirus modileadingtheworld qatar saturdaymotivation trumpcovidfails narendramodi.,anti
13,PROTESTS BEING REMOVED FROM YOUTUBE!! Freedom of speech! This is AMERICA and MichiganProtest is where we should STAND TOGETHER for our constitutional rights!! More of US than THEM! Let 's fight! operationgridlock,pro
14,"Mr President, they hate America. They 'll lead it to distruction if left to it. Ca n't tell you how many WalkAway I 've seen in the past hour. on Easter. Tell these commies to kick rocks to Russia.",pro
15,ExtendTheLockdown If there 's ever proof that this is a scam/hoax then it 's going to be tough on people who allowed their beloveds to die alone.,anti
16,Told off last night by former student who demanded I stop tweeting about disliking Dems reopening economy. Said … sorry you were 'triggered' but your limiting my freedom of speech is exactly what I'm fighting against.,anti
