index,text,label
0,Lockdown ACT OF WAR AGAINST PEOPLE HumanityIsNotAVirus covid19= SCAM KILLING with 5G -REALITY Reopening ReopenWorld.,n
1,"Sweden is not fooled by COVID19 scam, and its infection rate is lower. When will the rest of the world wake up? Only after people can no longer feed their families?",n
2,ban 5G resurrect traditional values! Let 's make America the greatest ever! naazirra.,n
3,"trump and states like Texas, under looking to Seems they want elderly vulnerable Veterans, who are losing comrades in state run facilities, to go back into battle against COVID. texasmorons",y
4,"That is you, that is! gregabbott We really do n't need any more fear tactics, we see the inflated numbers, the empty hospitals, the lies of the left all over the media, as the y contradict each other.",n
5,The lack of push back against unconstitutional shutdowns by too many timid sheep does not bode well for any future authoritarian assaults on our basic freedoms OPENAMERICANOW TrumpPressConf COVID19 OpenOhio Trump NRA Ohiolockdown ohiounemployment Tucker.,n
6,I feel like is a borderline tyrant. Anyone else? reopencalifornia trumpderangementsyndrome.,n
7,Morgan Stanley financial analysts warn Donald J Trump that relaxing containment measures against coronavirus resuming business as usual too quickly could actually backfire. causing even worse damage to the economy Do n't during covid19,y
8,"The difference between peaceful protest dangerous threat, is melanin. participants are n't protestors, they 're domestic terrorists.",y
9,"People vote with their wallets. STOP VOTING DEMOCRAT, STUPID. This Panicdemic is ALL their doing to destroy America 's the world 's economies and take down President YOU with it. now",n
10,Millions of other Americans and myself have railed against the lockdown order and we 're fine.,n
11,"Trump rally first! Til he puts himself and his base on the line, he does n't think America should reopen. He just wants to use us a lab rats.",n
12,"Today Trump announced his plans to and the DowJones is up by 10% already. Criticize him all you want, but he knows how to rally the markets positively.",n
13,"America It 's time to get a mask, wash your hands, pull up your big kid 's pants and get back to work. We have an economy to rebuild and we ca n't spend another day being chickenshit about it. coronavirus fraud ccpvirus",n
14,"MayDay We 're taking it back! It 's a Pro-Commerce Event where people exercise their right to provide for families, peacefully assemble and pursue happiness. Open your businesses! reopennc reopenus civildisobedience",n
15,"Agreed. At best, it is inherently unfair that some businesses get to make money hand-over-fist while millions of others go Tango-Uniform. shutdowntheshutdown.",n
16,"please! Mr. President. Your supporters need you! Plan an Easter rally! Make it the biggest one you 've ever had! We will stand RIGHT beside you, not 6 feet! Resurrect America! KAG MAGA americanresurrection foxnewstownhall trump.",n
17,"Instead of protests Just Do It reopen ReopenArizona everyone get back to work just open your business 's Walmart, Walgreens, Target, we can take personal responsibility follow Cold and Flu Season etiquette …",n
18,Yesterday was the first day in the last month where the number of NEW cases of COVID-19 was n't more than the previous day. The number of new deaths is still rising. It is not quite time to that is just TrumpMadness,n
19,"More likely to go bankrupt than be safe. But I guess that 's what happens when you trade liberty for false security … you deserve neither, and eventually lose both. ReopenVirginia.",n
20,"The shutdown is a socialists dream they can ban work, guns, FREE SPEECH!? This is why we have Trump God has made him the HAMMER! First to expose how far America has fallen … 2nd TO BREAK DOWN DESTROY the political ruling class from these 50 states trump2020.",n
21,Miserable ole Trump is just having a tantrum since he did n't get his GOPSlushFund yesterday so he wants to to punish us w/death threats DieForTheDow GeneralStrike COVID19 COVIDIDIOTS GOPBailoutScam TrumptheWorstPres,n
22,"We do n't know how mani COVID?19 infected or MR, but WE DO know how many hurt by shutdown 300M lose liberties",n
23,"mepolitics Falmouth Maine, elderly couple tried to purchase 2 pkgs of english muffins, cashier said the limit is 1 removed the 2nd pkg from the belt. Thought the limit was 2?? This is getting pathetic. reopenmain",n
24,"The100 on is a surprisingly phenomenal series. It also really makes today 's humanity look very pathetic by willingly complying to shelter-in-place orders for a virus that kills only about 1/5000, mostly elderly individuals. covid19",n
25,Now tell me once again Coronavirus obedient ones why we 're in house arrest prison and the criminals are not? What a scam.,n
26,Cure is worse than disease. AntifaTerrorists this is real Fascism. You have opposed Freedom. liberateillinois recalljb is a tyrant standup2bullies dumpdurbin ?? ??,n
27,it 's time to stop tossing money at this and,n
28,Lockdown ACT OF WAR AGAINST PEOPLE HumanityIsNotAVirus covid19= SCAM KILLING with 5G -REALITY reopening reopenworld.,n
29,What happened to the threats of closing permanently or fines or jail? Seems inconsistent AGAIN,n
30,I think there are very high odds that Dictator Whitmer has been spreading porkies about her right to breach the Constitution and the Bill of Rights in order to enslave the people of her state. Spreading freedom is what the protesters were doing. scamdemic,n
31,"NEW YORK STATE RALLY Tomorrow, April 16, noon State Capitol in Albany, NY reopennys RT and tag your.",n
32,"?? Love from NoLockdownSweden Become UNSILENT WalkAway WWG1WGA VIDEO interview with Professor Johan Giesecke, one of the world 's most senior epidemiologists and advisor to the Swedish Government. Why lockdowns are the wro",n
33,"Replying to Your stupidity will cause the needless death of MILLIONS, all because your hotels are losing money. You, and the rest of the COVIDIDIOTS who want to too soon ARE THE PROBLEM that is worse than the cure.",y
34,"Now it 's May?! Call me crazy, but it almost seems the government is shrugging off accountability when it comes to the math sources they used when deciding to implement a one size fits all lockdown that 's decimating families and small businesses. ReOpenMN",n
35,Austin is partially reopening today! Texas baby! Heading out the door right now to go support some small-businesses … Stop the insanity and now!,n
36,We need politicians that will put AmericaFirst. We can responsibly and protect our vulnerable. More.,n
37,"FREEDOM RALLY! Come stand with us tomorrow at 1PM in San Diego. ReOpenCA TimeToOpen Now ReOpenCalifornia If you are on Facebook, join the groups Reopen California. Similar Groups have formed for other states.",n
38,Absolutely but luckily we live on the TN/NC so we will be spending our money in TN and helping their economy. If WALMART can be open why ca n't every store if they follow the same guidelines. reopennc.,n
39,"Nobody should die because a rich person will, god forbid, be less rich if people stay safe at home. If boomers want to kill themselves so badly, a gun and a bullet to the head would be much faster. boomerremover.",y
40,You cannot shutdown the economic engine of the world for months based on questionable models and fear! The American people will not tolerate an open-ended halt to their lives. reopennh,n
41,99.99% survival rate for healthy people under 50. Even in NYC. Now get your boot off my neck. COVID19 coronavirus thursdaythoughts endtheshutdown,y
42,"HAPPENING NOW!!! Reopen our country! Carson city, Nevada reopennevada WWG1WGA nevada sisolak inittogether qanon recallsisolak operationnevada wethepeople",n
43,Thinking of OperationGridlock as they get ready to protest to ReopenMI. Best of luck from ReopenNC you guys are true patriots today. constitutionovercoronavirus,n
44,stock market rebounds when Covid_19 cases grow by less than expected. Worried about the market economy? Do n't rush to Control the outbreak. test. Test. Test. Trace. Isolate. Treat. Thanks vetting COVID19 EconTwitter research so quickly.,n
45,PROTESTS BEING REMOVED FROM YOUTUBE!! Freedom of speech! This is AMERICA and MichiganProtest is where we should STAND TOGETHER for our constitutional rights!! More of US than THEM! Let 's fight! operationgridlock,n
46,Lots of patriots demonstrating to ReopenVirginia today. I was at the LiberateMinnesota rally last week w/the big red LewisForMN RV. Fighting COVID__19 gradually reopening are NOT binary choices! Our economic security/individual liberty are at stake. Time to,n
47,"If we 'll only have 1 to 2% of people die if we as wants that would be 3.3 to 6.6 million Americans dead. 6,600,000 dead humans. holocaust coronaviruspandemic MAGA COVID19 election2020",y
48,The plot thickens!! BillGatesIsNotOurFriend why would lockdown continue when the virus is declining. Oh!! Bill Gates wants everyone contained until he gets mandatory vaccines! Coercion!! plandemic,n
49,"Fauci is a liar and a fraud. The lockdowns should be ended IMMEDIATELY. Not only are they illegal and unconstitutional, THEY DON'T EVEN WORK. endthelockdown EndTheShutdown",n
50,While there is a unconstitutional checkpoint coming into Florida on 95S Why is it that American citizens must be singled out. If only you had fortitude like in Georgia GreatAwakening ConstitutionOverCoronavirus.,n
51,Show the proof that keeping healthy people in lock-down is necessary or helpful? openupamerica mayday povertykills.,n
52,Let businesses open with social distancing rules. They too can easily do what Walmart and the grocery stores are doing! reopennc.,n
53,This is the antithesis of Freedom. openupamerica mayday takeourcountryback liberatevirginia vaccinesarenottheanswer billgatesisnotourfriend firefauci defundwho.,n
54,No more stimulus bills we need to get back to work by Easter. We 've been lied to about the ChinaVirus none of the numbers add up it 's been blown out of portion. letsgetbacktowork americafirst.,n
55,walkaway ONLY we the people can We have the Constitution CommonSense and Science on our side.,n
56,"Hello. As we experience perilous and exciting times, we are seeing the uncovering of gross corruption, greed, negligence, incompetence and fraud. God said who can I send to carry out My will? I will LORD, I will! mayday USA openupamerica america.",n
57,"Want to Here 's the ONLY plan that will not cost US 1000s of more deaths 1-StayAtHome 2-Testing, Testing, Testing 3-treatment 4-contact tracing ALL 4 Then only then can we can begin to resume some normality to our daily lives",y
58,Seriously considering moving to the state that open up first. WuhanCoronaVirus,n
59,and FauciFraud is there with her He 's a Democrat! He 's deep state FireFauci and let 's for business!!!,y
60,"You know what I find hypocritical? When people argue not to reopen States. Really? States have been half open the whole time! If grocery stores, gas stations, fast foods, Walmart, Target coffee shops were SAFE to stay open you 're already half open!",n
61,By GilbertMercier author of TheOrwellianEmpire DON'T ReopenMaryland for the benefit of ProfitsOverPeople WallStreet banksters Corporate interests. stayathome trump whitesupremacy evangelicals devossedition alexjones COVID19 COVID?19.,y
62,"Dear Enough is enough! There are many jobs which are inherently socially-distanced jobs, and can resume!",n
63,do your models take into account the increased risk of depression and suicide? Do they take into account the destruction of our economy and small business? NO! Your models are designed to predict exactly what you want us to believe. reopenvir,n
64,You want to see this video before support such bullshit CoronavirusLockdown is better for us.,y
65,To all the Democrats blabbing about keeping the economy shut down this is why it needs to reopen! coronavirus AmericaFirst.,n
66,"it 's time to At risk individuals, rest homes and hot spot cities continue to self quarantine. Others should be able to return to normal life. Track the numbers and make informed decisions based on actual da",n
67,"Over 400,000 people went out to vote in-person in Wisconsin. It 's 15 days later and Covid hospitalizations and new cases are going down not up as the democrat naysayers warned. We are being scammed.",n
68,I ca n't wait for to restart our economy … AGAIN! It will bounce back with a Vengeance AmericaFirst MadeInAmerica.,n
69,"Riots in the streets, looting, and killing because Democrats crashed the economy over PORKING the RescueBill is n't a good way to survive this virus. We 're going to without allowing Pelosi to blackmail us and you can sit in your ivory tower and stfu now.",n
70,Unemployment is set to hit 30%. Far higher than the Great Depression. Is it worth it? You do n't amputate a limb when you get a cut because it might become infected. Coronavirus michiganshutdown,n
71,"If we 're each at home, we 're not together. Being PRESENT with each other is together. Technology solutions are a thin shadow of what the human psyche requires. civilliberties.",n
72,People out on the streets with assault rifles in America and states announcing reopening of businesses next week. Proper order. You wo n't get away with tyranny over there. Americans wo n't be bullied Coronavirus CoronaBollocks EndTheLockdown.,n
73,activists attending the ReopenMI rally today! We must start petitioning for our Freedom NOW! ampFW.,n
74,Take back America! DO NOT COMPLY! democratsaredestroyingamerica americafirst,n
75,"People under 50 rarely catch or die from CV19, they are effectively immune Take them off lockdown to save the economy. Re-open shops, schools, offices and resturants for under 50 's. Test/trace/quarantine any infected.",n
76,Quit lying to Nevadans OPEN NEVADA!!! OpenNevada Vegas MAGA VegasShutdown VegasBorn SaturdayThoughts WWG1WGA ConstitutionOverCoronavirus.,n
77,"Our world now, so much for our freedom and liberties. This was a slippery slope closing down for a virus, that was not much worse than the flu. reop",n
78,If u are so scared of death STAY HOME AND OUT OF OUR WAY We the ones that are not scared shouldnt have to suffer for your fears Why do people want to shove their view down other peoples throat coronavirushoax reopen,n
79,WE THE PEOPLE DEMAND OUR COUNTRY OPEN! This is unconstitutional and we have been LIED TO. operationgridlock PROTEST for our FREEDOM back now!! WE DO NOT CONSENT! We demand truth!,n
80,Texas Gov Abbott does n't need to be told twice … … Democrats like California 's Newsome and New York 's Cuomo should be taking notes. MAGA NOW.,n
81,and do n't watch this Sh*t head.,n
82,Join your state rally on May/1!!! openupamerica mayday takeourcountryback,n
83,"Precautions, fine! But are playing politics with the rescue bill. I'm out of work because of this, Ca n't see unemployment status, site says it 's down, Ca n't look for another job because of the stay at home order. Dems you 're bleeding us to death!",n
84,"Every Governor, Legislator or Physician who recommends keeping the economy shut down should forfeit their paychecks until it reopens COVID19 Now.",n
85,"Folks, ItIsUpToUs! This infringement on our rights is what recall petitions, injunctions, lawsuits are for. Be civil, respectful and peaceful at all times! Get started now. betheactivist takebackamerica 1A 2a tcot ccot riseup liberty covidfascism",n
86,OperationGridlock Now !!! Recall Then,n
87,This is Populist regime change Masters at work Break the bonds Patriots,n
88,Why is trending?!? This goes directly against all advice from MEDICAL PROFESSIONALS. How is our country handling this the worst? I 'd really like to not die.,y
