index,text,label
0,"trump and states like Texas, under looking to Seems they want elderly vulnerable Veterans, who are losing comrades in state run facilities, to go back into battle against COVID. texasmorons",y
1,So are my chances of contracting coronavirus at walmart greater than or less than catching it at my local mom pop patio store which is required to be shutdown?,n
2,Protests work my friends! Today at 11:30am downtown Los Angeles city hall downtownla cityhall openla opencalifornianow liberatecalifornia losangeles motherearth pass it on!,n
3,"i hope abbott knows that so many people are going to die bc he decided to open movie theaters, the mall, and restaurants on friday. extendthelockdown.",y
4,Thinking of OperationGridlock as they get ready to protest to ReopenMI. Best of luck from ReopenNC you guys are true patriots today. constitutionovercoronavirus,n
5,Northampton NPT have been out in Northampton Lumbertubs Upton Collingtree Southfields monitoring the virus compliance. c7125 c7153 p982 stayhomesaveslives COVID19,y
6,Thank you to everyone at the NHS. Please stay at home. stayhomesaveslives,y
7,A strong message to anyone thinking about meeting with friends over the Easter weekend StayHomeSavesLives,y
8,"extendthelockdown As of now, no vaccine and no treatment for this highly contagious disease. Lockdown saved our country to a level by decreasing the spread when compared to other countries. India was Highest population c",y
9,extendthelockdown Help control this COVID-19 outbreak and let the world know that we can handle a few more weeks of lockdown. Use extendTheLockdown and spread the word.,y
10,We need to ExtendTheLockdown It 's the call of the time. This is the only way to be safe. Frankly India ca n't offer good and fast COVID-19 test and quarantine centre. The cases have multiplied by thousand and we ca n't afford to be careless. HEALTH IS WEALTH.,y
11,Liberal Snowflakes are triggered by Americans who want to get back to work. Lazy liberals who brag about murdering their own babies are trying to pretend to have compassion or morals about anything is a JOKE.,n
12,"2/2: Democrats are going to revolt when they learn and realize their Governors shutdown and destroyed the economy, their lives, and livelihoods for no good reason! walkaway walkawaydemocrats walkawayfromdemocrats now.",n
13,First positive case of Covid_19india in Valsad district. stayhomestaysafe stayhomesaveslives indiafightsback trending stayathomewithtwice 2k20 2019ncov 5GKILLS umargaon coronaviruspandemic coronago coronavirusoutbreakindia covid19india indiacheckmateschina,y
14,Free Michigan! OperationGridlock for miles!,n
15,Uneducated trump voters and fox news audience still think CoronaVirus is a hoax. notdying4wallstreet COVIDIDIOTS generalstrike hantavirus,y
16,"it 's time to At risk individuals, rest homes and hot spot cities continue to self quarantine. Others should be able to return to normal life. Track the numbers and make informed decisions based on actual da",n
17,A strong message to anyone thinking about meeting with friends over the Easter weekend StayHomeSavesLives,y
18,Cure is worse than disease. AntifaTerrorists this is real Fascism. You have opposed Freedom. liberateillinois recalljb is a tyrant standup2bullies dumpdurbin ?? ??,n
19,DID YOU KNOW?? ?? Fake News CBS used footage from an Italian Hospital when talking about the coronavirus outbreak in New York City. FakeNews LeftyMedia Panic NYC COVID19,n
20,That doctr is worthless WASTE TO TALKING ABOUT HIM … bt now problem is about extension of lockdown … if yu guys were so responsible I request Pk fans to trend ExtendTheLockdown in AP.,y
21,"Express your free speech during but if you 're too dumb or selfish not to wear protection, do n't be surprised by the results",y
22,do your models take into account the increased risk of depression and suicide? Do they take into account the destruction of our economy and small business? NO! Your models are designed to predict exactly what you want us to believe. reopenvir,n
23,WE THE PEOPLE DEMAND OUR COUNTRY OPEN! This is unconstitutional and we have been LIED TO. operationgridlock PROTEST for our FREEDOM back now!! WE DO NOT CONSENT! We demand truth!,n
24,Ramaphosa is just another scam of a president why not approach Madagascar for the cure with the money you willing to give for free uselesspresidency ExtendTheLockdown.,y
25,"Agreed. At best, it is inherently unfair that some businesses get to make money hand-over-fist while millions of others go Tango-Uniform. shutdowntheshutdown.",n
26,"3/ Without question, by his repeated lies failure to take swift appropriate action-and now his determination to by Easter- is the true EnemyOfThePeople.",n
27,"But YOU rage against your govt because you ca n't go to bars restaurants; parks beaches; movie theaters malls? You claim to love America, yet are willing to destroy it by risking infection spreading it to others, leading to illness and possibly death.",y
28,"extendthelockdown As of now, no vaccine and no treatment for this highly contagious disease. Lockdown saved our country to a level by decreasing the spread when compared to other countries. India was Highest population c",y
29,"NJ does not need a committee of pharma executives and Chan-Zuckerberg puppets to tell us when to OpenUpNJ. you closed NJ in 1 day, you open it! MayDay OpenUpAmerica",n
30,"If we 're each at home, we 're not together. Being PRESENT with each other is together. Technology solutions are a thin shadow of what the human psyche requires. civilliberties.",n
31,"California: 40 million people 2175 coronavirus deaths to date, a 0.005% mortality rate, one of lowest in the world. Newsom wo n't even open beaches. Time to ask why. Did he decide to shutter the world 's 5th largest economy to drag down GDP before Nov election?",n
32,Life without economy or Economy without life.Choose wisely. This move can decide whether u want a green life or desert with the bank balance.extendlockdown ExtendTheLockdown,y
33,Libs: No one IS PolITicIZiNg thE chINESe vIRSuS aGAInSt PResIdENT tRUMp. We dOn'T NeED to rEoPEN OuR EcOnOmY. US gdP Also Libs: haHaha Trump uS GdP Also libs extendthelockdown donotopencalifornianow Also libs: is asshoe,n
34,The anti-Trump CULT quickly morphed into the HysteriaCult sensing that maybe the Coronavirus could accomplish what their 3.5 years of failed efforts to destroy the Presidency could n't do The ShutDown is the new Mue,n
35,"Ppl are starving, losing businesses commiting suicide. No one cares about politics right now. Talk to DeepStateBarr about it. Tell Trump to use his power open a special council.",n
36,God Bless America EndTheLockdown reopencalifornianow FreeAmericaNow HuntingtonBeach USA Thank you to Law Enforcement today great job out there today RecallGavinNow,n
37,If u are so scared of death STAY HOME AND OUT OF OUR WAY We the ones that are not scared shouldnt have to suffer for your fears Why do people want to shove their view down other peoples throat coronavirushoax reopen,n
38,"Keep Schools closed, keep our children, educators and parents safe via ExtendTheLockdown Covid_19 COVID19 SouthAfrica SouthAfricansFirst.",y
39,activists attending the ReopenMI rally today! We must start petitioning for our Freedom NOW! ampFW.,n
40,"Freddie 's 'STAY HOME, STAY SAFE' poster for the comp! We live in a cul de sac so not sure any patrolling officers will c it but it kept Fredster busy! And everyone stay home plz!! Keep everyone safe!!! stayhome staysafe StayHomeSavesLives",y
41,"donotopencalifornia You 've been a terrific example of intelligence so far, California, do n't blow it now! extendthelockdown besafe trumppandemicfailure stayhome inthistogether socialdistancing healthcareworkers takecareofeachother beatcovid19.",y
42,YEP! Protests work my friends! Today at 11:30am downtown Los Angeles city hall downtownla cityhall openla opencalifornianow liberatecalifornia losangeles.,n
43,"More likely to go bankrupt than be safe. But I guess that 's what happens when you trade liberty for false security … you deserve neither, and eventually lose both. ReopenVirginia.",n
44,Miserable ole Trump is just having a tantrum since he did n't get his GOPSlushFund yesterday so he wants to to punish us w/death threats DieForTheDow GeneralStrike COVID19 COVIDIDIOTS GOPBailoutScam TrumptheWorstPres,n
45,Trump wants to open the schools again. Good God. Can we lock him up YET? I think it 's time. penceisanidiot extendthelockdown wellnesswednesday remdesivir Gaston County De Blasio Jared kushner free America Elon Musk Powell,y
46,"America It 's time to get a mask, wash your hands, pull up your big kid 's pants and get back to work. We have an economy to rebuild and we ca n't spend another day being chickenshit about it. coronavirus fraud ccpvirus",n
47,I ca n't wait for to restart our economy … AGAIN! It will bounce back with a Vengeance AmericaFirst MadeInAmerica.,n
48,it 's time to act for the American people! arrestroycooper covid19tankscam reopennc.,n
49,"People vote with their wallets. STOP VOTING DEMOCRAT, STUPID. This Panicdemic is ALL their doing to destroy America 's the world 's economies and take down President YOU with it. now",n
50,What happened to the threats of closing permanently or fines or jail? Seems inconsistent AGAIN,n
51,"Riots in the streets, looting, and killing because Democrats crashed the economy over PORKING the RescueBill is n't a good way to survive this virus. We 're going to without allowing Pelosi to blackmail us and you can sit in your ivory tower and stfu now.",n
52,A strong message to anyone thinking about meeting with friends over the Easter weekend StayHomeSavesLives,y
53,Watch 2 [Cali] docs tell truth about [Covid]. Quarantine is bad for your immune system.,n
54,stock market rebounds when Covid_19 cases grow by less than expected. Worried about the market economy? Do n't rush to Control the outbreak. test. Test. Test. Trace. Isolate. Treat. Thanks vetting COVID19 EconTwitter research so quickly.,n
55,"What exactly do Nigerians want?: Extendthelockdown trends, Nigerians react in shock to 195 new cases of Coronavirus recorded on Tuesday",y
56,Utah! Join us tomorrow! We cannot sit by and watch the damn commies erase our freedoms in the name of safety. WalkAway,n
57,ExtendTheLockdown please PM extend the lockdown. 21 days reh liye aur reh lenge. Sab ko bacha ne ke liye lockdown badha de,y
58,The same people that also protest anything that benefits ALL people such as The affordable care act Gu.,y
59,"Lovely drawing and poem posted by one of the year 5 pupils. Because of COVID-19, we ca n't go to the canteen, the shops have been shut, no hair is being cut, there 's hardly any food, people must be stood, the rule is 2 m apart, and that way you will be safe. stayhomesaveslives",y
60,Respected P.M. sir of India. Please extend the lockdown period Because the situation not fully under controlled.if the lockdown period is over on 14th april then the virus spread again. So please consult with Health Ministry and extendthelockdown period.,y
61,"Way to go Ottawa. We know its hard, but let 's StayHomeSavesLives so we can help our amazing health care system FlattenTheCurve. Tell us what your doing at hone today!",y
62,Libs: No one IS PolITicIZiNg thE chINESe vIRSuS aGAInSt PResIdENT tRUMp. We dOn'T NeED to rEoPEN OuR EcOnOmY. US gdP Also Libs: haHaha Trump uS GdP Also libs extendthelockdown donotopencalifornianow Also libs: Elon Musk is asshoe,n
63,"Update: Yes, we can by May 1st, … Looking forward to Arizona following suit, livesoverdollars was a false dilemma from the start shutdowns threw the baby out with the bathwater, smh.",n
64,OperationGridlock Now !!! Recall Then,n
65,I do n't recall dr. Fauci calling for closing any gay bars or bath houses in the 80s because of the deadly AIDs virus. Also do n't think we have a vaccine against it either.,n
66,"Why do n't those go to hospitals, help healthcare workers since they do n't believe coronavirus is a threat and show how Christian they are by helping those in need like Jesus did -answer-they wo n't because they are Hypocrites and cowards.",y
67,A single corona patient can be a threat to whole country if we do n't ExtendTheLockdown because still we are not aware the actual number of cases whose are in still incubation period and some of them are asymptomatic. lockdownextention.,y
